,0
1596,남양리
1597,신남리
1598,장덕리
1599,안석리
1600,활초리
1601,온석리
1602,무송리
1603,북양리
1604,송림리
1605,수화리
1606,장전리
1607,신외리
1608,문호리
1609,시리
1610,원천리
1611,매송면
1612,천천리
1613,원평리
1614,어천리
1615,숙곡리
1616,야목리
1617,원리
1618,비봉면
1619,양노리
1620,남전리
1621,유포리
1622,삼화리
1623,구포리
1624,쌍학리
1625,청요리
1626,자안리
1627,마도면
1628,석교리
1629,두곡리
1630,쌍송리
1631,청원리
1632,슬항리
1633,해문리
1634,백곡리
1635,고모리
1636,송산면
1637,사강리
1638,봉가리
1639,삼존리
1640,용포리
1641,쌍정리
1642,천등리
1643,신천리
1644,독지리
1645,고포리
1646,지화리
1647,중송리
1648,육일리
1649,서신면
1650,전곡리
1651,상안리
1652,광평리
1653,장외리
1654,송교리
1655,제부리
1656,홍법리
1657,사곳리
1658,매화리
1659,궁평리
1660,백미리
1661,팔탄면
1662,하저리
1663,창곡리
1664,기천리
1665,가재리
1666,율암리
1667,지월리
1668,서근리
1669,화당리
1670,고주리
1671,장안면
1672,어은리
1673,수촌리
1674,독정리
1675,장안리
1676,덕다리
1677,사랑리
1678,금의리
1679,사곡리
1680,노진리
1681,양감면
1682,사창리
1683,정문리
1684,용소리
1685,요당리
1686,대양리
1687,정남면
1688,발산리
1689,괘랑리
1690,보통리
1691,관항리
1692,오일리
1693,백리
1694,문학리
1695,계향리
1696,귀래리
1697,제기리
1698,덕절리
1699,음양리
1700,수면리
1701,금복리
1702,용수리
1703,경안동
1704,쌍령동
1705,회덕동
1706,탄벌동
1707,목현동
1708,중대동
1709,직동
1710,태전동
1711,역동
1712,오포읍
1713,고산리
1714,능평리
1715,문형리
1716,추자리
1717,양벌리
1718,초월읍
1719,대쌍령리
1720,쌍동리
1721,산이리
1722,늑현리
1723,학동리
1724,선동리
1725,무갑리
1726,서하리
1727,도평리
1728,곤지암읍
1729,곤지암리
1730,수양리
1731,봉현리
1732,부항리
1733,이선리
1734,만선리
1735,유사리
1736,삼합리
1737,건업리
1738,장심리
1739,연곡리
1740,오향리
1741,열미리
1742,삼리
1743,도척면
1744,유정리
1745,방도리
1746,상림리
1747,도웅리
1748,진우리
1749,퇴촌면
1750,광동리
1751,관음리
1752,우산리
1753,영동리
1754,도수리
1755,오리
1756,도마리
1757,무수리
1758,원당리
1759,정지리
1760,남종면
1761,분원리
1762,금사리
1763,이석리
1764,귀여리
1765,검천리
1766,수청리
1767,우천리
1768,남한산성면
1769,엄미리
1770,광지원리
1771,상번천리
1772,하번천리
1773,오전리
1774,검복리
1775,유양동
1776,어둔동
1777,남방동
1778,마전동
1779,산북동
1780,광사동
1781,만송동
1782,삼숭동
1783,고읍동
1784,덕정동
1785,봉양동
1786,회암동
1787,율정동
1788,옥정동
1789,고암동
1790,덕계동
1791,회정동
1792,백석읍
1793,방성리
1794,복지리
1795,가업리
1796,홍죽리
1797,은현면
1798,선암리
1799,운암리
1800,하패리
1801,도하리
1802,남면
1803,신암리
1804,경신리
1805,상수리
1806,입암리
1807,황방리
1808,광적면
1809,가납리
1810,광석리
1811,우고리
1812,비암리
1813,효촌리
1814,덕도리
1815,석우리
1816,장흥면
1817,교현리
1818,울대리
1819,석현리
1820,일영리
1821,삼상리
1822,삼하리
1823,신읍동
1824,어룡동
1825,자작동
1826,선단동
1827,설운동
1828,동교동
1829,소흘읍
1830,송우리
1831,이동교리
1832,무림리
1833,이곡리
1834,직동리
1835,이가팔리
1836,초가팔리
1837,무봉리
1838,유교리
1839,좌의리
1840,명산리
1841,직두리
1842,상성북리
1843,하성북리
1844,내촌면
1845,진목리
1846,마명리
1847,음현리
1848,소학리
1849,신팔리
1850,가산면
1851,감암리
1852,정교리
1853,금현리
1854,우금리
1855,신북면
1856,가채리
1857,기지리
1858,신평리
1859,만세교리
1860,심곡리
1861,계류리
1862,고일리
1863,삼성당리
1864,갈월리
1865,금동리
1866,덕둔리
1867,창수면
1868,추동리
1869,주원리
1870,가양리
1871,오가리
1872,고소성리
1873,운산리
1874,영중면
1875,양문리
1876,금주리
1877,거사리
1878,영평리
1879,영송리
1880,일동면
1881,길명리
1882,유동리
1883,화대리
1884,사직리
1885,수입리
1886,이동면
1887,영북면
1888,자일리
1889,야미리
1890,문암리
1891,대회산리
1892,소회산리
1893,관인면
1894,중리
1895,삼율리
1896,초과리
1897,탄동리
1898,사정리
1899,화현면
1900,화현리
1901,명덕리
1902,지현리
1903,홍문동
1904,창동
1905,단현동
1906,신진동
1907,월송동
1908,가업동
1909,연라동
1910,상거동
1911,하거동
1912,삼교동
1913,점봉동
1914,능현동
1915,멱곡동
1916,연양동
1917,매룡동
1918,천송동
1919,오학동
1920,현암동
1921,가남읍
1922,태평리
1923,상활리
1924,신해리
1925,대신리
1926,은봉리
1927,건장리
1928,심석리
1929,삼군리
1930,정단리
1931,화평리
1932,본두리
1933,하귀리
1934,안금리
1935,양귀리
1936,연대리
1937,삼승리
1938,점동면
1939,청안리
1940,부구리
1941,원부리
1942,관한리
1943,뇌곡리
1944,성신리
1945,당진리
1946,현수리
1947,도리
1948,흔암리
1949,처리
1950,흥천면
1951,복대리
1952,계신리
1953,문장리
1954,내사리
1955,외사리
1956,상대리
1957,다대리
1958,하다리
1959,상백리
1960,귀백리
1961,율극리
1962,효지리
1963,대당리
1964,신근리
1965,금사면
1966,이포리
1967,주록리
1968,전북리
1969,소유리
1970,상호리
1971,하호리
1972,외평리
1973,능서면
1974,번도리
1975,구양리
1976,왕대리
1977,내양리
1978,용은리
1979,양거리
1980,마래리
1981,광대리
1982,오계리
1983,매류리
1984,신지리
1985,대신면
1986,후포리
1987,천남리
1988,하림리
1989,상구리
1990,장풍리
1991,옥촌리
1992,윤촌리
1993,도롱리
1994,계림리
1995,천서리
1996,당남리
1997,율촌리
1998,초현리
1999,북내면
2000,당우리
2001,외룡리
2002,내룡리
2003,상교리
2004,주암리
2005,서원리
2006,중암리
2007,운촌리
2008,신접리
2009,지내리
2010,가정리
2011,강천면
2012,간매리
2013,걸은리
2014,이호리
2015,적금리
2016,굴암리
2017,강천리
2018,도전리
2019,산북면
2020,상품리
2021,송현리
2022,후리
2023,명품리
2024,주어리
2025,백자리
2026,용담리
2027,연천읍
2028,차탄리
2029,현가리
2030,와초리
2031,옥산리
2032,통현리
2033,고문리
2034,전곡읍
2035,은대리
2036,신답리
2037,마포리
2038,양원리
2039,간파리
2040,늘목리
2041,군남면
2042,진상리
2043,옥계리
2044,선곡리
2045,황지리
2046,남계리
2047,청산면
2048,초성리
2049,대전리
2050,장탄리
2051,백의리
2052,백학면
2053,두일리
2054,백령리
2055,통구리
2056,전동리
2057,학곡리
2058,구미리
2059,포춘리
2060,항동리
2061,석주원리
2062,오음리
2063,사시리
2064,매현리
2065,고읍리
2066,두매리
2067,석장리
2068,미산면
2069,동이리
2070,유촌리
2071,우정리
2072,왕징면
2073,무등리
2074,노동리
2075,북삼리
2076,강내리
2077,강서리
